order,context_length,statistic,effect,left_variant,left_traversal,left_region,right_variant,right_traversal,right_region,repetitions,mean,standard_deviation,ci95_lower,ci95_upper
24,6,mean_gain,gain_over_fair,permute_rows_fixed_anchor,columns,all,fair_coin,columns,all,20,0.027459459501169837,0.0016211365291289828,0.026863166907821347,0.028229490355145177
24,6,mean_gain,gain_over_fair,permute_rows_fixed_anchor,rows,all,fair_coin,rows,all,20,0.09122964315867489,0.011809630988570637,0.08606094814763805,0.09611737950066862
24,7,mean_gain,gain_over_fair,catalog,columns,all,fair_coin,columns,all,20,0.13605950781287732,0.020709538131733485,0.12682667928580044,0.14459519700760418
24,7,mean_gain,gain_over_fair,catalog,columns,exclude_first_column,fair_coin,columns,exclude_first_column,20,0.11584827240422162,0.021679433689911893,0.10644426161846011,0.12497653720283189
24,7,mean_gain,gain_over_fair,catalog,columns,exclude_first_row,fair_coin,columns,exclude_first_row,20,0.1313203488003288,0.019638586831579333,0.12256054253537642,0.13942323430431522
24,7,mean_gain,gain_over_fair,catalog,columns,interior,fair_coin,columns,interior,20,0.11141787054520284,0.02056951179021336,0.10248759438297524,0.11985462570411003
24,7,mean_gain,gain_over_fair,catalog,rows,all,fair_coin,rows,all,20,0.15249982609128834,0.019230247770772264,0.14411499421003007,0.16073637145865963
24,7,mean_gain,gain_over_fair,catalog,rows,exclude_first_column,fair_coin,rows,exclude_first_column,20,0.1434150349683033,0.01782474581922659,0.13585652803468168,0.15103646813242538
24,7,mean_gain,gain_over_fair,catalog,rows,exclude_first_row,fair_coin,rows,exclude_first_row,20,0.13310111431294605,0.02008077465881575,0.1246698222432355,0.141540880407558
24,7,mean_gain,gain_over_fair,catalog,rows,interior,fair_coin,rows,interior,20,0.12398048127910158,0.018657547916331303,0.11606315799735628,0.1317496713718595
24,7,mean_gain,gain_over_fair,permute_both_fixed_anchor,columns,all,fair_coin,columns,all,20,0.03238988311898461,0.0014449328019432652,0.031762521775482166,0.033004684912789184
24,7,mean_gain,gain_over_fair,permute_both_fixed_anchor,rows,all,fair_coin,rows,all,20,0.03126597144574962,0.0020598893351138183,0.030361035521944392,0.032128161342490455
24,7,mean_gain,gain_over_fair,permute_both_renormalized,columns,all,fair_coin,columns,all,20,0.03191125236295855,0.0018620912092859223,0.031103131850104253,0.032694054045624664
24,7,mean_gain,gain_over_fair,permute_both_renormalized,rows,all,fair_coin,rows,all,20,0.03190106424044257,0.0021591418908359205,0.03097442252037698,0.03280645701847258
24,7,mean_gain,gain_over_fair,permute_columns_fixed_anchor,columns,all,fair_coin,columns,all,20,0.13605950781287732,0.020709538131733454,0.12687221891131995,0.14469342215218164
24,7,mean_gain,gain_over_fair,permute_columns_fixed_anchor,rows,all,fair_coin,rows,all,20,0.0312659714457496,0.002059889335113796,0.03037446450851689,0.03214345810983988
