repetition,seed,order,presentation,block_size,stage,test_matrices,policy,sampled_states,skipped_forced_states,states,mean_feasible_candidates,mean_percentile,mean_percentile_minus_random,mean_reciprocal_rank,top_decile_rate,expected_top1_rate
0,20260814,28,permute_both_renormalized,2,middle,97,balance_pressured_pair,500,0,500,3.99,0.634,0.134,0.6257619047619047,0.278,0.4175
0,20260814,28,permute_both_renormalized,2,middle,97,all_pair_product,500,0,500,3.99,0.7433333333333333,0.2433333333333333,0.8033571428571421,0.65,0.6785
0,20260814,28,permute_both_renormalized,2,middle,97,minimum_max_pressure,500,0,500,3.99,0.6510833333333333,0.15108333333333335,0.6241952380952379,0.264,0.4616666666666678
0,20260814,28,catalog,4,early,97,random_order,500,0,500,16.0,0.5,0.0,0.11764705882352902,0.0,0.0625
0,20260814,28,catalog,4,early,97,balance_only,500,0,500,16.0,0.5840625,0.08406250000000004,0.1945542929429853,0.0,0.08433333333333322
0,20260814,28,catalog,4,early,97,balance_random_pair,500,0,500,16.0,0.5676875,0.06768750000000001,0.21897263500691672,0.106,0.09516666666666666
0,20260814,28,catalog,4,early,97,balance_pressured_pair,500,0,500,16.0,0.5914375,0.09143749999999995,0.23762154562515464,0.192,0.10216666666666675
0,20260814,28,catalog,4,early,97,all_pair_product,500,0,500,16.0,0.7274375,0.22743749999999996,0.43382639572185866,0.386,0.26133333333333325
0,20260814,28,catalog,4,early,97,minimum_max_pressure,500,0,500,16.0,0.588125,0.08812500000000001,0.22563541350638663,0.1,0.1181709734709739
0,20260814,28,permute_both_fixed_anchor,4,early,97,random_order,500,0,500,16.0,0.5,0.0,0.11764705882352902,0.0,0.0625
0,20260814,28,permute_both_fixed_anchor,4,early,97,balance_only,500,0,500,16.0,0.5575,0.057499999999999996,0.18079274062117623,0.0,0.07433333333333338
0,20260814,28,permute_both_fixed_anchor,4,early,97,balance_random_pair,500,0,500,16.0,0.5755,0.07550000000000001,0.1998973992916086,0.068,0.07866666666666665
0,20260814,28,permute_both_fixed_anchor,4,early,97,balance_pressured_pair,500,0,500,16.0,0.602375,0.102375,0.221417676643822,0.126,0.0911666666666667
0,20260814,28,permute_both_fixed_anchor,4,early,97,all_pair_product,500,0,500,16.0,0.74125,0.24124999999999996,0.4614176427247632,0.42,0.30500000000000005
0,20260814,28,permute_both_fixed_anchor,4,early,97,minimum_max_pressure,500,0,500,16.0,0.65125,0.15125,0.26950016014554956,0.164,0.15428449883449902
0,20260814,28,permute_both_renormalized,4,early,97,random_order,500,0,500,16.0,0.5,0.0,0.11764705882352902,0.0,0.0625
0,20260814,28,permute_both_renormalized,4,early,97,balance_only,500,0,500,16.0,0.5415,0.04149999999999998,0.17436560307146737,0.0,0.06833333333333345
0,20260814,28,permute_both_renormalized,4,early,97,balance_random_pair,500,0,500,16.0,0.5655,0.0655,0.20237975144647175,0.092,0.0826666666666667
0,20260814,28,permute_both_renormalized,4,early,97,balance_pressured_pair,500,0,500,16.0,0.5766875,0.07668750000000002,0.21593537623928571,0.148,0.0855
0,20260814,28,permute_both_renormalized,4,early,97,all_pair_product,500,0,500,16.0,0.7621875,0.2621875,0.48514022544181085,0.462,0.32033333333333336
0,20260814,28,permute_both_renormalized,4,early,97,minimum_max_pressure,500,0,500,16.0,0.6485625,0.14856250000000004,0.2727496637974335,0.178,0.1596594905094906
0,20260814,28,catalog,4,middle,97,random_order,500,13,487,15.149897330595483,0.5,0.0,0.12752815892083888,0.0,0.06845705629073186
0,20260814,28,catalog,4,middle,97,balance_only,500,13,487,15.149897330595483,0.5792928153297766,0.07929281532977661,0.20277769669811185,0.006160164271047228,0.08747433264887058
0,20260814,28,catalog,4,middle,97,balance_random_pair,500,13,487,15.149897330595483,0.6092770679012975,0.10927706790129754,0.2577970396512557,0.18275154004106775,0.1243482048410181
0,20260814,28,catalog,4,middle,97,balance_pressured_pair,500,13,487,15.149897330595483,0.6348146420656688,0.13481464206566884,0.29214893288635996,0.22792607802874743,0.1452772073921972
0,20260814,28,catalog,4,middle,97,all_pair_product,500,13,487,15.149897330595483,0.83677912607584,0.33677912607584004,0.5942909149606816,0.5831622176591376,0.42659137577002054
0,20260814,28,catalog,4,middle,97,minimum_max_pressure,500,13,487,15.149897330595483,0.6978336730005105,0.19783367300051047,0.3507972023366092,0.2813141683778234,0.23375867800919148
0,20260814,28,permute_both_fixed_anchor,4,middle,97,random_order,500,0,500,15.486,0.5,0.0,0.12213912655971447,0.0,0.06509816017316018
0,20260814,28,permute_both_fixed_anchor,4,middle,97,balance_only,500,0,500,15.486,0.588024025974026,0.08802402597402603,0.2028351478827142,0.014,0.0854666666666666
0,20260814,28,permute_both_fixed_anchor,4,middle,97,balance_random_pair,500,0,500,15.486,0.6233368506493506,0.12333685064935063,0.2422013730395557,0.146,0.10856363636363642
