order,presentation,block_size,stage,policy,repetitions,mean_states,mean_feasible_candidates,mean_percentile,mean_percentile_minus_random,percentile_effect_ci95_lower,percentile_effect_ci95_upper,mean_reciprocal_rank,mean_top_decile_rate,mean_expected_top1_rate
24,permute_both_fixed_anchor,2,early,random_order,20,500.0,4.0,0.5,0.0,0.0,0.0,0.4000000000000036,0.0,0.25
24,permute_both_fixed_anchor,2,middle,all_pair_product,20,500.0,3.9913000000000003,0.7294666666666666,0.22946666666666662,0.22590416666666666,0.23287093749999996,0.7784514285714281,0.5990000000000001,0.63825
24,permute_both_fixed_anchor,2,middle,balance_only,20,500.0,3.9913000000000003,0.5373541666666666,0.03735416666666666,0.033374895833333335,0.041295937499999984,0.5005323809523795,0.0178,0.2748999999999999
24,permute_both_fixed_anchor,2,middle,balance_pressured_pair,20,500.0,3.9913000000000003,0.6091833333333334,0.10918333333333333,0.1042833333333334,0.11382093749999997,0.5962054761904763,0.2305,0.377725
24,permute_both_fixed_anchor,2,middle,balance_random_pair,20,500.0,3.9913000000000003,0.5744375000000002,0.07443750000000002,0.0705,0.07846666666666666,0.5489926190476186,0.1405,0.3275499999999999
24,permute_both_fixed_anchor,2,middle,minimum_max_pressure,20,500.0,3.9913000000000003,0.6487875,0.1487875,0.14336666666666664,0.15353760416666665,0.6315485714285711,0.2935,0.472258333333334
24,permute_both_fixed_anchor,2,middle,random_order,20,500.0,3.9913000000000003,0.5,0.0,0.0,0.0,0.4008700000000035,0.0,0.250725
24,permute_both_fixed_anchor,4,early,all_pair_product,20,264.0,16.0,0.7448745265151515,0.2448745265151515,0.24163677793560606,0.24815355705492428,0.44990161787102706,0.39053030303030306,0.28686237373737367
24,permute_both_fixed_anchor,4,early,balance_only,20,264.0,16.0,0.5368726325757576,0.03687263257575759,0.03332726680871213,0.04042968750000002,0.17379977593432247,0.0,0.06909722222222217
24,permute_both_fixed_anchor,4,early,balance_pressured_pair,20,264.0,16.0,0.5805989583333332,0.08059895833333333,0.07471590909090911,0.08612127130681817,0.21190968147566552,0.10852272727272727,0.08379103535353535
24,permute_both_fixed_anchor,4,early,balance_random_pair,20,264.0,16.0,0.5646839488636364,0.06468394886363635,0.06003196022727274,0.06925307765151514,0.20024768217570527,0.08124999999999999,0.08088699494949496
24,permute_both_fixed_anchor,4,early,minimum_max_pressure,20,264.0,16.0,0.6531782670454547,0.15317826704545454,0.14673251065340906,0.15958806818181817,0.27355360901950493,0.1816287878787879,0.15556407712657722
24,permute_both_fixed_anchor,4,early,random_order,20,264.0,16.0,0.5,0.0,0.0,0.0,0.11764705882352904,0.0,0.0625
24,permute_both_fixed_anchor,4,middle,all_pair_product,20,500.0,15.660400000000001,0.8301975518231757,0.33019755182317556,0.3271497902774297,0.3334025615998572,0.6001191347914712,0.5852000000000002,0.4498541666666666
24,permute_both_fixed_anchor,4,middle,balance_only,20,500.0,15.660400000000001,0.5706284588328341,0.07062845883283404,0.06735783433753768,0.07390407215180675,0.19468800682089363,0.0067,0.08122666666666663
24,permute_both_fixed_anchor,4,middle,balance_pressured_pair,20,500.0,15.660400000000001,0.6558647604478854,0.15586476044788547,0.15322453132284394,0.1587291443972694,0.26940824919195105,0.22659999999999997,0.12314500000000009
24,permute_both_fixed_anchor,4,middle,balance_random_pair,20,500.0,15.660400000000001,0.6164151519314022,0.11641515193140203,0.11426821944201654,0.11873073027493346,0.2341687721691906,0.14430000000000004,0.10276684343434347
24,permute_both_fixed_anchor,4,middle,minimum_max_pressure,20,500.0,15.660400000000001,0.7372286405261402,0.2372286405261402,0.2331080012591572,0.2412616880619378,0.382313422709323,0.309,0.26785390220890226
24,permute_both_fixed_anchor,4,middle,random_order,20,500.0,15.660400000000001,0.5,0.0,0.0,0.0,0.12051817927170838,0.0,0.06415094613719612
24,permute_both_fixed_anchor,8,early,all_pair_product,20,264.0,256.0,0.8732584635416666,0.3732584635416667,0.37113955411044036,0.3753096147017045,0.2871161272689491,0.6388257575757577,0.20138555441822487
24,permute_both_fixed_anchor,8,early,balance_only,20,264.0,256.0,0.581567012902462,0.08156701290246213,0.07759375369910038,0.08577749541311554,0.014814553363514168,0.0,0.005027732683982674
24,permute_both_fixed_anchor,8,early,balance_pressured_pair,20,264.0,256.0,0.657662686434659,0.1576626864346591,0.151672196821733,0.16308937766335224,0.02294724987206376,0.20075757575757577,0.00738651394901395
24,permute_both_fixed_anchor,8,early,balance_random_pair,20,264.0,256.0,0.6333507191051136,0.13335071910511365,0.1277657896099669,0.1389180408824574,0.019939367472424443,0.16893939393939394,0.0063618326118326084
24,permute_both_fixed_anchor,8,early,minimum_max_pressure,20,264.0,256.0,0.7790734493371212,0.2790734493371212,0.2753073582504735,0.2829154182202888,0.09639926432336535,0.3306818181818182,0.06391706617956144
24,permute_both_fixed_anchor,8,early,random_order,20,264.0,256.0,0.5,0.0,0.0,0.0,0.00778210116731515,0.0,0.00390625
24,permute_both_fixed_anchor,8,middle,all_pair_product,20,260.2,41.29938616149253,0.8598036237434498,0.35980362374344976,0.356352999617031,0.3632437264304452,0.6443692164833037,0.7416788074153453,0.5675106419950852
24,permute_both_fixed_anchor,8,middle,balance_only,20,260.2,41.29938616149253,0.6222563593959741,0.12225635939597401,0.11798119734960537,0.12632546118611673,0.32025236433604887,0.20579352808709897,0.20893740827424545
24,permute_both_fixed_anchor,8,middle,balance_pressured_pair,20,260.2,41.29938616149253,0.6508134789236313,0.15081347892363134,0.1454186246272845,0.15640630639754097,0.346784551443201,0.2856925293196315,0.23049940854392598
24,permute_both_fixed_anchor,8,middle,balance_random_pair,20,260.2,41.29938616149253,0.6682234700065104,0.16822347000651033,0.16508906643626317,0.1712430283394293,0.3445075702795454,0.26150145848280476,0.22130245130887372
24,permute_both_fixed_anchor,8,middle,minimum_max_pressure,20,260.2,41.29938616149253,0.6061057663292587,0.10610576632925872,0.10526850406821116,0.10694976128728313,0.2858508455699108,0.19890267092321384,0.20246702819342338
24,permute_both_fixed_anchor,8,middle,random_order,20,260.2,41.29938616149253,0.5,0.0,0.0,0.0,0.18549810588676136,0.0,0.11462368790238413
